,created,user_location,tweet_text,username,all_hashtags,refine_text,text_length
34,11/9/2020 4:38,Nomad in South India,b'2nd November = SRK Birthday Next Day #KKR Out Of #IPL2020  5th November = Virat Birthday Next Day #RCB Out Of #IPL2020  9th November = #PrithviShaw Birthday 10th November #Mi VS #DC Final  9Th November = #TejashwiYadav Birthday  10th November #BiharElections2020 Result',b'FaizanAkhlakh2',"['KKR', 'IPL2020', 'RCB', 'IPL2020', 'PrithviShaw', 'Mi', 'DC', 'TejashwiYadav', 'BiharElections2020']",nd november srk birthday next day november virat birthday next day november birthday november v november birthday november result,29
35,11/9/2020 4:38,NA,b'This is gonna be some final! #IPL2020 https://t.co/cYzKPpqIbq',b'thePatronus_',['IPL2020'],gonna,6
36,11/9/2020 4:37,NA,b'@joy_ebike Delhi Capitals  will win match   #IPLContest2020 #IPL2020  #JoyEbike @joy_ebike',b'Vinay4023',"['IPLContest2020', 'IPL2020', 'JoyEbike']",delhi capital win match,5
37,11/9/2020 4:37,NA,"b""All credit to excellently knitted @DelhiCapitals management. The planning and executions' for past couple of years have been phenomenal. #IPL2020 #IPLfinal #DCvsMI""",b'GautamLata1',"['IPL2020', 'IPLfinal', 'DCvsMI']",credit excellently knitted management planning execution past couple year phenomenal,18
38,11/9/2020 4:37,"Tirupati, India",b'Ipl is already ending?????? #IPL2020 #MIvsDC',b'aashkavora',"['IPL2020', 'MIvsDC']",already ending,4
39,11/9/2020 4:37,"New Delhi, India",b'#IPL2020: @DelhiCapitals reach first-ever @IPL final after beating #SRH by 17 runs; will play @mipaltan for IPL 2020 trophy... . Check Out:- https://t.co/FttESPrNmN . #iplseason13 #IPLfinal #DelhiCapitals #sunrisers #OrangeArmy #SRHvDC #DCvsSRH #KaneWilliamson',b'InsideSportIND',"['IPL2020', 'SRH', 'iplseason13', 'IPLfinal', 'DelhiCapitals', 'sunrisers', 'OrangeArmy', 'SRHvDC', 'DCvsSRH', 'KaneWilliamson']",reach firstever beating run play trophy check,14
40,11/9/2020 4:36,"Chennai, India","b'@bhogleharsha @DelhiCapitals In 2018,2019 ipl the final Playing teams met 4 times including 2 league matches, Q1 and finals.All the times winner was same. CSK beats SRH 4-0 in 2018 and MI beats CSK 4-0 in 2019 as well. In 2020,Till now MI Already beaten DC 3-0.Will MI follow d pattern? #IPL2020 #IPLfinal 1/2'",b'Imsreekanth7',"['IPL2020', 'IPLfinal']",playing team met time including league match q finalsall time winner csk beat srh mi beat csk well till mi already beaten dc mi follow pattern,42
41,11/9/2020 4:36,Oman  / Pakistan /Saudi Arabia,"b""Agree or not  It's   Mumbai Indians  vs  Delhi Capitals Delhi Super Kings Delhi Knight Riders Kings XI Delhi Sunrisers Delhi Delhi Royals Royal Challengers Delhi   On #IPL2020 final""",b'RP_Rajavell',['IPL2020'],agree mumbai indian v delhi capital delhi super king delhi knight rider king xi delhi sunrisers delhi delhi royal royal challenger delhi,27
42,11/9/2020 4:36,India,b'The only good thing happened to Delhi in a while is entering the finals. #IPL2020 #IPLfinal #IPL #DCvsMI',b'gumnaamsoch',"['IPL2020', 'IPLfinal', 'IPL', 'DCvsMI']",good thing happened delhi entering final,14
43,11/9/2020 4:36,India,b'Yes it was a great season for many reasons! But the most important thing that you guys can be proud of is that you are probably the only team in the IPL to back young talents and give them opportunity!  Kudos to the entire #OrangeArmy players and staffs for a terrific #IPL2020 \xf0\x9f\x91\x8f https://t.co/vruZIQYOtC',b'crikvoice',"['OrangeArmy', 'IPL2020']",yes great season many reason important thing guy proud probably team back young talent give opportunity kudos entire player staff terrific,51
44,11/9/2020 4:36,"New Delhi, India","b""It's time to select your team of the tournament, here's mine! @IPL #IPL2020   1. S Dhawan - DC 2. KL Rahul - KXIP 3. V Kohli - RCB 4. ABD\xe2\x9c\x88\xef\xb8\x8f - RCB 5. I Kishan - MI 6. R Tewatia - RR 7. R Khan\xe2\x9c\x88\xef\xb8\x8f - SRH 8. J Archer\xe2\x9c\x88\xef\xb8\x8f - RR 9. K Rabada\xe2\x9c\x88\xef\xb8\x8f - DC 10. Y Chahal - RCB 11. J Bumrah - MI""",b'YagnaSayz',['IPL2020'],time select team tournament here mine dhawan dc kl rahul kxip kohli rcb abdxexcxxefxbxf rcb kishan mi tewatia rr khanxexcxxefxbxf srh archerxexcxxefxbxf rr k rabadaxexcxxefxbxf dc chahal rcb bumrah mi,43
45,11/9/2020 4:35,Seventh Heaven,b'Who will be the winner of #Dream11IPL ?   #IPLT20 #IPL2020 #IPLfinal #mi #dc #MIvDC #Dubai #YehHaiNayiDilli',b'sajeeth_ahd',"['Dream11IPL', 'IPLT20', 'IPL2020', 'IPLfinal', 'mi', 'dc', 'MIvDC', 'Dubai', 'YehHaiNayiDilli']",winner,6
46,11/9/2020 4:35,"New Delhi, India",b'I had a feeling that if Williamson would have stayed he would have won the contest vs Rabada. #IPL2020',b'udit_buch',['IPL2020'],feeling williamson would stayed would contest v rabada,18
47,11/9/2020 4:35,NA,"b""When Stoinis channeled his inner Hulk and powered Delhi Capitals to a place they've never been to before.  @ganeshcee has more on the all-rounder's power-packed show.  #DC #MarcusStoinis #IPL2020""",b'cricbuzz',"['DC', 'MarcusStoinis', 'IPL2020']",stoinis channeled inner hulk powered delhi capital place theyve never allrounders powerpacked show,25
48,11/9/2020 4:35,london,b'#IPL2020 | Delhi Capitals beat Sunrisers Hyderabad by 17 runs; will face Mumbai Indians in Finals on Tuesday.   Final Score:   #DC-   189/3 (20)  #SRH - 172/8 (20)  #SRHvsDC | #DCvSRH #\xe0\xb0\xaa\xe0\xb1\x86\xe0\xb0\xa6\xe0\xb1\x8d\xe0\xb0\xa6\xe0\xb0\xbe\xe0\xb0\xaa\xe0\xb1\x81\xe0\xb0\xb0\xe0\xb0\xaa\xe0\xb1\x8d\xe0\xb0\xaa\xe0\xb0\xbe\xe0\xb0\xa1\xe0\xb1\x81 \xe0\xb0\xaa\xe0\xb1\x86\xe0\xb0\xa6\xe0\xb1\x8d\xe0\xb0\xa6\xe0\xb0\xbe\xe0\xb0\xaa\xe0\xb1\x81\xe0\xb0\xb0\xe0\xb0\xaa\xe0\xb1\x8d\xe0\xb0\xaa\xe0\xb0\xbe\xe0\xb0\xa1\xe0\xb1\x81 https://t.co/xbQhkZJ6lP',b'PGPanchayat',"['IPL2020', 'DC', 'SRH', 'SRHvsDC', 'DCvSRH', 'పెద్దాపురప్పాడు']",delhi capital beat sunrisers hyderabad run face mumbai indian final tuesday score xexbxaaxexbxxexbxaxexbxdxexbxaxexbxbexexbxaaxexbxxexbxbxexbxaaxexbxdxexbxaaxexbxbexexbxaxexbx xexbxaaxexbxxexbxaxexbxdxexbxaxexbxbexexbxaaxexbxxexbxbxexbxaaxexbxdxexbxaaxexbxbexexbxaxexbx,19
49,11/9/2020 4:34,"Saket, New Delhi",b'#IPL2020 Final: Top 5 reasons why @mipaltan can beat @DelhiCapitals to retain their IPL title... . See Here:- https://t.co/EU7p4X07K6 . #iplseason13 #IPLfinal #DelhiCapitals #MumbaiIndians #MI #SRHvDC #DCvsSRH #KaneWilliamson',b'InsideSportIND',"['IPL2020', 'iplseason13', 'IPLfinal', 'DelhiCapitals', 'MumbaiIndians', 'MI', 'SRHvDC', 'DCvsSRH', 'KaneWilliamson']",top reason beat retain title see,13
50,11/9/2020 4:34,"New Delhi, India",b'@R3Mitul  dream 11 tip for final ???? #IPL2020',b'dhamu_iam',['IPL2020'],dream tip,4
51,11/9/2020 4:33,"Chennai, India","b'#IPL2020 Finals: After hattrick of losses, can @DelhiCapitals get 4th time lucky against @mipaltan ? . See Here:- https://t.co/3rxXwaF7Yw . #iplseason13 #IPLfinal #DelhiCapitals #MumbaiIndians #MI #SRHvDC #DCvsSRH #KaneWilliamson'",b'InsideSportIND',"['IPL2020', 'iplseason13', 'IPLfinal', 'DelhiCapitals', 'MumbaiIndians', 'MI', 'SRHvDC', 'DCvsSRH', 'KaneWilliamson']",final hattrick loss get time lucky see,13
52,11/9/2020 4:33,"West Bengal, Bharat",b'@DSCcricket Biggest Wish to Win this Wonderful Cricket Gears.  Tq team @DSCcricket  #IPL2020 #DCvsMI #MIvsDC   Join us  @Barbiegirl0098 @buttter__cup  @imPalak18 @shubhamanyu @Sweetheartlubb @Tuaa74 @AbdurRa64684550 @mysterioussu @atashuddin  @prashpatel_ @AmbaMonika @Sagar14Naik @Sandeep13_',b'raj__0011',"['IPL2020', 'DCvsMI', 'MIvsDC']",biggest wish win wonderful cricket gear tq team join u,12
53,11/9/2020 4:33,"मुंबई, भारत","b'""Stoinis roared, arms in the air, fists clenched, veins popping in his granite forearms.""  Would Delhi Capitals be in the IPL final without him?   @the_kk delves into the allrounder\'s performance  https://t.co/Ckms0sLLpI #IPL2020'",b'andymcg_cricket',['IPL2020'],stoinis roared arm air fist clenched vein popping granite forearm would delhi capital without delf allrounders performance,29
54,11/9/2020 4:33,Kolkata,b'@ESPNcricinfo I feel even @BCCI should look beyond Virat Kohli if they want any ICC trophies in their cupboard #BCCI #Cricket #IPL2020',b'bhautik_pm',"['BCCI', 'Cricket', 'IPL2020']",feel even look beyond virat kohli want icc trophy cupboard,17
55,11/9/2020 4:32,"New Delhi, India",b'Bumrah and Natarajan are going to be a lethal pair. Hope to see them together in the Indian national team very soon. #IPL2020 Natarajan #SRHvsDC @BCCI',b'dheepjobgeo',"['IPL2020', 'SRHvsDC']",bumrah natarajan going lethal pair hope see together indian national team soon natarajan,23
56,11/9/2020 4:32,"Chennai, India",b'Last final game  Toss and match 2500 9119660591 \xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf #IPL2020 #Dcvsmi #bettingpicks #match #cricket',b'TossCricket',"['IPL2020', 'Dcvsmi', 'bettingpicks', 'match', 'cricket']",last game toss match xfxfxxafxfxfxxafxfxfxxafxfxfxxafxfxfxxafxfxfxxafxfxfxxafxfxfxxafxfxfxxaf,7
